judge	satnorm	weighting	target	metric	n_prompts	core	rand	best_ho	best_in	top_w	top_pop	full	target_reliab	delta_core	ci_lo	ci_hi	eta	eta_lo	eta_hi	eta_in	eta_topw	core_minus_topw	cmt_lo	cmt_hi	core_minus_reliab	cmr_lo	cmr_hi	retention	effect_over_floor	p	bh_survives	K5_admissible
main	raw	uniform	intrinsic	tau_b	966	0.6628	0.4164	0.6674	0.9734	0.6853	0.4749	0.5078	0.6563	0.2466	0.2284	0.2644	0.9825	0.9168	1.0464	0.4426	1.0720	-0.0224	-0.0407	-0.0050	0.0066	-0.0107	0.0228	1.3065	25.95	0.00050	1	1
main	raw	uniform	intrinsic	top1	966	0.7037	0.5237	0.7026	0.9819	0.7301	0.5517	0.5871	0.6986	0.1796	0.1581	0.2006	1.0036	0.8880	1.1207	0.3919	1.1543	-0.0269	-0.0498	-0.0049	0.0046	-0.0174	0.0245	1.1983	16.56	0.00050	1	1
main	raw	uniform	intrinsic	pair	966	0.8314	0.7082	0.8337	0.9867	0.8427	0.7375	0.7539	0.8281	0.1232	0.1134	0.1329	0.9820	0.9156	1.0497	0.4422	1.0719	-0.0113	-0.0202	-0.0023	0.0032	-0.0057	0.0120	1.1031	24.87	0.00050	1	1
main	raw	uniform	personal	tau_b	291	0.2786	0.1114	0.3580	0.4667	0.2875	0.1449	0.1281	-0.1565	0.1673	0.1431	0.1920	0.6789	0.5931	0.7670	0.4707	0.7130	-0.0084	-0.0289	0.0123	0.4350	0.4055	0.4641	2.2150	13.13	0.00050	1	1
main	raw	uniform	personal	top1	291	0.4545	0.3521	0.5133	0.6097	0.4741	0.3715	0.3648	-0.1242	0.1025	0.0793	0.1259	0.6358	0.5029	0.7869	0.3970	0.7577	-0.0196	-0.0419	0.0025	0.5789	0.5486	0.6094	1.2478	8.60	0.00050	1	1
main	raw	uniform	personal	pair	291	0.6495	0.5597	0.6917	0.7504	0.6545	0.5770	0.5691	-0.0838	0.0897	0.0763	0.1036	0.6800	0.5929	0.7681	0.4701	0.7179	-0.0050	-0.0159	0.0065	0.7329	0.7159	0.7498	1.1413	12.93	0.00050	1	1
main	raw	uniform	personal	veto	285	0.5805	0.4606	0.6332	0.7590	0.6026	0.4868	0.4799	-0.1694	0.1195	0.0918	0.1468	0.6967	0.5337	0.8625	0.4007	0.8238	-0.0219	-0.0496	0.0050	0.7493	0.7112	0.7883	1.2098	8.47	0.00050	1	1
main	raw	uniform	world	tau_b	966	0.2944	0.1339	0.4093	0.4982	0.2903	0.1469	0.1691	-0.1175	0.1605	0.1471	0.1741	0.5831	0.5381	0.6281	0.4405	0.5681	0.0041	-0.0086	0.0168	0.4119	0.3944	0.4302	1.7459	23.16	0.00050	1	1
main	raw	uniform	world	top1	966	0.4975	0.3897	0.5733	0.6438	0.5029	0.3851	0.4153	-0.0848	0.1081	0.0953	0.1209	0.5887	0.5210	0.6569	0.4253	0.6172	-0.0052	-0.0184	0.0083	0.5825	0.5662	0.5996	1.1992	16.63	0.00050	1	1
main	raw	uniform	world	pair	966	0.6596	0.5721	0.7207	0.7690	0.6576	0.5786	0.5911	-0.0640	0.0876	0.0800	0.0950	0.5891	0.5453	0.6341	0.4446	0.5751	0.0021	-0.0050	0.0094	0.7236	0.7143	0.7331	1.1162	23.08	0.00050	1	1
main	raw	uniform	world	veto	285	0.5805	0.4606	0.6332	0.7590	0.6026	0.4868	0.4799	-0.1694	0.1199	0.0918	0.1472	0.6970	0.5325	0.8628	0.4014	0.8272	-0.0225	-0.0509	0.0052	0.7494	0.7104	0.7882	1.2111	8.42	0.00050	1	1
main	raw	signed	intrinsic	tau_b	966	0.6628	0.6011	0.6563	0.9981	0.6846	0.6584	0.8130	0.6565	0.0619	0.0462	0.0771	1.1299	0.8057	1.5213	0.1559	1.5256	-0.0216	-0.0395	-0.0035	0.0066	-0.0121	0.0245	0.8155	7.84	0.00050	1	1
main	raw	signed	intrinsic	top1	966	0.7037	0.6636	0.6976	0.9989	0.7277	0.7056	0.8336	0.6981	0.0399	0.0220	0.0569	1.2399	0.6156	2.1945	0.1191	2.0100	-0.0242	-0.0458	-0.0029	0.0054	-0.0159	0.0258	0.8440	4.32	0.00050	1	1
main	raw	signed	intrinsic	pair	966	0.8314	0.8005	0.8282	0.9990	0.8423	0.8292	0.9065	0.8282	0.0309	0.0234	0.0384	1.1332	0.8315	1.5032	0.1557	1.5379	-0.0110	-0.0202	-0.0017	0.0034	-0.0051	0.0118	0.9173	8.01	0.00050	1	1
main	raw	signed	personal	tau_b	291	0.2786	0.2680	0.3953	0.5166	0.2901	0.2853	0.3326	-0.1566	0.0104	-0.0088	0.0308	0.0831	-0.0714	0.2448	0.0422	0.1759	-0.0117	-0.0330	0.0101	0.4351	0.4036	0.4669	0.8368	1.03	0.30300	0	1
main	raw	signed	personal	top1	291	0.4545	0.4553	0.5451	0.6419	0.4740	0.4762	0.4984	-0.1245	-0.0008	-0.0228	0.0206	-0.0092	-0.2768	0.2378	-0.0043	0.2088	-0.0192	-0.0418	0.0024	0.5788	0.5475	0.6095	0.9124	0.07	0.94700	0	1
